Neighborhood,Lat,Lon,Type
Boyle Heights,34.03143,-118.20824099999999,Latin American Restaurant
Boyle Heights,34.035645,-118.20118000000001,Breakfast Spot
Boyle Heights,34.031532,-118.208254,Restaurant
Boyle Heights,34.036215999999996,-118.20248799999999,Food
Boyle Heights,34.030877000000004,-118.208569,Food
Boyle Heights,34.032922,-118.211949,Latin American Restaurant
Boyle Heights,34.032942,-118.21195700000001,Mexican Restaurant
Boyle Heights,34.039190000000005,-118.208161,Food
Boyle Heights,34.041031,-118.203201,Food
Boyle Heights,34.021879,-118.204588,Food
Boyle Heights,34.02794394,-118.2005047,Gas Station
Boyle Heights,34.03572824213411,-118.20053897591772,Taco Place
Boyle Heights,34.031284,-118.19816399999999,Mexican Restaurant
Boyle Heights,34.04054206696197,-118.20313022084524,Mexican Restaurant
Boyle Heights,34.02171975414514,-118.20446883629317,Mexican Restaurant
Brentwood,34.05362703874441,-118.4635120417825,New American Restaurant
Brentwood,34.054134000000005,-118.465107,Chinese Restaurant
Brentwood,34.046113,-118.465589,Food
Brentwood,34.05371365882564,-118.46349443627795,American Restaurant
Brentwood,34.05224500571125,-118.47118394771543,Italian Restaurant
Brentwood,34.04757340585861,-118.46334233720223,Bar
Brentwood,34.05305456354906,-118.46770620591148,Italian Restaurant
Brentwood,34.05302534703166,-118.46694892046273,Chinese Restaurant
Brentwood,34.05376424790412,-118.463766613824,Italian Restaurant
Brentwood Circle,34.05362703874441,-118.4635120417825,New American Restaurant
Brentwood Circle,34.054134000000005,-118.465107,Chinese Restaurant
Brentwood Circle,34.046113,-118.465589,Food
Brentwood Circle,34.05371365882564,-118.46349443627795,American Restaurant
Brentwood Circle,34.05224500571125,-118.47118394771543,Italian Restaurant
Brentwood Circle,34.04757340585861,-118.46334233720223,Bar
Brentwood Circle,34.05305456354906,-118.46770620591148,Italian Restaurant
Brentwood Circle,34.05302534703166,-118.46694892046273,Chinese Restaurant
Brentwood Circle,34.05376424790412,-118.463766613824,Italian Restaurant
Brookside,14.584035873413086,121.12400817871094,Japanese Restaurant
Brookside,14.5915625,121.1206793,Comedy Club
Brookside,14.583433638881845,121.12970899083089,Bar
Brookside,14.591524,121.119646,Bar
Brookside,14.585222891987053,121.11919593028802,Hotel Bar
Brookside,14.582642859988846,121.12866835659412,Restaurant
Brookside,14.586111533333332,121.13442826666666,Korean Restaurant
Brookside,14.581046828532884,121.1323686133765,Chinese Restaurant
Bunker Hill,34.04974294912817,-118.2565476507356,American Restaurant
Bunker Hill,34.05229026588889,-118.2509634668589,French Restaurant
Bunker Hill,34.044552,-118.255757,Mexican Restaurant
Bunker Hill,34.05081085783843,-118.2549834122098,Salad Place
Bunker Hill,34.06019026649661,-118.25779296419628,Mexican Restaurant
Bunker Hill,34.054711531158325,-118.24958988764203,French Restaurant
Bunker Hill,34.0527471,-118.2553119,Hotel
Bunker Hill,34.0446474,-118.258433,Indian Restaurant
Bunker Hill,34.057175,-118.25474,Mexican Restaurant
Bunker Hill,34.048132436383554,-118.25841516318212,American Restaurant
Bunker Hill,34.052738,-118.247693,American Restaurant
Bunker Hill,34.04818117618561,-118.25135350227356,Mexican Restaurant
Bunker Hill,34.05334,-118.252679,Food
